,14711940a_metr,28325075a_metr,28325089a_metr,28325090a_metr,33188530a_metr,33188571a_metr,33188571b_metr,33188590a_metr,33188602a_metr,33188602b_metr,33188644a_metr,33188653a_metr,33188653b_metr,33188661a_metr,33188698a_metr,33188724a_metr,33188757a_metr,33188784a_metr,33188804a_metr,33188804b_metr,33188856a_metr,33188873a_metr,33188898a_metr,33188910a_metr,33188914a_metr,33188914b_metr,33188945a_metr,33188967a_metr,33188969a_metr,33188969b_metr,33707243a_metr
33188856a_metr,0.98691,0.95387,0.94603,0.98324,0.99793,0.99768,0.99803,0.953,0.95739,0.96938,0.99835,0.99762,0.96818,0.96411,0.94774,0.77821,0.93217,0.98628,0.63701,0.99507,1.0,0.98942,0.99161,0.99459,0.9931,0.99755,0.94211,0.91061,0.98655,0.99786,0.95817
33188873a_metr,0.99797,0.98794,0.98332,0.99784,0.99977,0.99927,0.99957,0.98747,0.98635,0.99146,0.98598,0.99623,0.99413,0.99128,0.93906,0.75569,0.97407,0.9993,0.7401,0.99918,0.7893,1.0,0.99917,0.99885,0.99759,0.99497,0.969,0.94554,0.99879,0.9993,0.99532
33188898a_metr,0.99957,0.98847,0.98436,0.9993,0.99777,0.99783,0.99918,0.98802,0.98922,0.99428,0.98704,0.99856,0.995,0.99305,0.94891,0.76578,0.97617,0.99992,0.88996,0.99772,0.86474,0.99987,1.0,0.99508,0.99651,0.99763,0.96755,0.90682,0.99986,0.99945,0.98983
33188910a_metr,0.97259,0.93193,0.922,0.9677,0.99534,0.99671,0.993,0.93086,0.93383,0.94865,0.99805,0.98972,0.94895,0.94299,0.92775,0.81003,0.90463,0.97269,0.89775,0.99043,0.82732,0.97774,0.98035,1.0,0.98736,0.98937,0.95619,0.94867,0.97257,0.99206,0.98411
33188914a_metr,0.97356,0.93338,0.92357,0.96874,0.99568,0.99696,0.99347,0.93233,0.93532,0.94997,0.9982,0.99032,0.95023,0.94436,0.91966,0.76467,0.90638,0.97364,0.83833,0.9909,0.83721,0.97859,0.98116,0.99383,1.0,0.98998,0.94319,0.922,0.97353,0.99256,0.95571
33188914b_metr,0.99493,0.9918,0.99216,0.99829,0.99586,0.99534,0.99453,0.92577,0.9983,0.9873,0.99342,0.98808,0.97964,0.9936,0.95293,0.91362,0.9668,0.99689,0.85154,0.98821,0.89965,0.97483,0.9966,0.99169,0.99708,1.0,0.99641,0.906,0.99419,0.99557,0.98212
33188945a_metr,0.99976,0.99753,0.99726,0.99875,0.99,0.98659,0.99284,0.99641,0.99959,0.99905,0.99435,0.99969,0.99791,0.99847,0.77593,0.94085,0.99788,0.99741,0.86428,0.99483,0.8001,0.99681,0.99581,0.99275,0.99313,0.99916,1.0,0.93159,0.99778,0.99232,0.99877
33188967a_metr,0.82877,0.7236,0.71973,0.68945,0.48996,0.50664,0.54371,0.77344,0.71157,0.72132,0.80998,0.69999,0.60465,0.52617,0.66818,0.79115,0.52276,0.56864,0.78758,0.75764,0.72371,0.70551,0.52614,0.65653,0.62039,0.72282,0.90506,1.0,0.66729,0.7598,0.62646
33188969a_metr,0.94311,0.88515,0.8733,0.93555,0.97615,0.97912,0.97234,0.88382,0.89233,0.91204,0.99866,0.96987,0.90821,0.90199,0.90901,0.75907,0.85345,0.94113,0.84916,0.96612,0.76101,0.9478,0.95276,0.97214,0.96058,0.97026,0.88198,0.80286,1.0,0.97098,0.89321
33188969b_metr,0.935,0.87403,0.86163,0.92696,0.97119,0.97461,0.96678,0.87264,0.88141,0.90209,0.99754,0.96386,0.89814,0.89156,0.90445,0.70594,0.84091,0.93295,0.82586,0.97324,0.67631,0.94013,0.94539,0.96726,0.95431,0.96427,0.88382,0.7695,0.93371,1.0,0.90264
33707243a_metr,0.95274,0.91859,0.90812,0.94587,0.98264,0.98513,0.97933,0.89801,0.96745,0.92371,0.99984,0.97685,0.92076,0.94626,0.91541,0.76694,0.8689,0.95576,0.6534,0.97394,0.76407,0.95738,0.96176,0.97905,0.96905,0.97708,0.95823,0.91633,0.95498,0.97812,1.0
